Top100,Name,Pos,Org,Age,H,W,B,T,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
,Matt Brash,SP,SEA,24.2333333,"6' 1""",173,R,R,,,,,,,,Rise/Run,60 / 70,70 / 70,60 / 60,40 / 45,40 / 45,,,94-98,100,50,25756
,Nick Yorke,2B,BOS,20.3444444,"6' 0""",200,R,R,35 / 60,50,60,30 / 50,40 / 45,50 / 45,30 / 40,,,,,,,,,,,50,sa3014546
,Zach Neto,2B,LAA,21.5166666,"6' 0""",190,R,R,35 / 60,45,55,30 / 50,40 / 45,55 / 55,40 / 50,,,,,,,,,,,50,
,Luis Medina,MIRP,OAK,23.2583333,"6' 1""",175,R,R,,,,,,,,Tail,65 / 70,,60 / 70,45 / 55,30 / 40,2550,2400,96-99,101,50,sa928510
,Ronny Mauricio,SS,NYM,21.3388888,"6' 3""",215,S,R,30 / 35,30,40,40 / 55,55 / 60,50 / 50,45 / 60,,,,,,,,,,,50,sa3006887
,Ezequiel Duran,3B,TEX,23.2055555,"5' 11""",185,R,R,35 / 40,40,40,45 / 55,60 / 60,45 / 45,50 / 50,,,,,,,,,,,50,23733
,Coby Mayo,RF,BAL,20.6555555,"6' 5""",215,R,R,35 / 55,50,55,30 / 60,50 / 70,50 / 40,40 / 45,,,,,,,,,,,50,sa3014479
,Jasson Dominguez,CF,NYY,19.4972222,"5' 11""",215,S,R,20 / 50,45,50,20 / 60,60 / 60,60 / 55,40 / 50,,,,,,,,,,,50,sa3014696
,Greg Jones,CF,TBR,24.4138888,"5' 11""",175,S,R,30 / 45,50,40,30 / 50,50 / 55,70 / 70,40 / 45,,,,,,,,,,,50,sa3010151
,Drey Jameson,SP,ARI,24.9694444,"6' 0""",170,R,R,,,,,,,,Tail,70 / 70,60 / 70,50 / 50,50 / 55,40 / 45,2400,2450,97-99,100,50,sa3011652
,Cole Henry,SP,WSN,23.0583333,"6' 4""",215,R,R,,,,,,,,Tail,55 / 60,55 / 60,,55 / 60,40 / 45,2500,2350,95-97,99,50,sa3014446
,Josh Winder,SP,MIN,25.8194444,"6' 5""",210,R,R,,,,,,,,Rise,50 / 55,50 / 50,45 / 50,45 / 50,50 / 60,2150,2300,92-96,97,50,24606
,Josh H. Smith,SS,TEX,24.9972222,"5' 10""",175,L,R,55 / 60,55,60,35 / 40,40 / 40,55 / 55,55 / 55,,,,,,,,,,,50,26396
,Vinnie Pasquantino,1B,KCR,24.8222222,"6' 4""",245,L,L,55 / 60,60,60,45 / 55,50 / 50,20 / 20,55 / 55,,,,,,,,,,,50,27676
,Cristian Hernandez,SS,CHC,18.6472222,"6' 2""",165,R,R,25 / 50,,60,20 / 40,45 / 55,55 / 55,40 / 50,,,,,,,,,,,50,sa3015696
,Jose Salas,SS,MIA,19.2777777,"6' 2""",191,S,R,25 / 60,45,55,20 / 50,45 / 55,55 / 50,35 / 45,,,,,,,,,,,50,sa3014690
,Dylan Lesko,SP,SDP,18.9138888,"6' 3""",195,R,R,,,,,,,,Rise,55 / 60,,55 / 60,70 / 80,20 / 55,,,92-95,98,50,
,Brady House,3B,WSN,19.1722222,"6' 4""",215,R,R,20 / 45,40,60,20 / 60,60 / 70,45 / 40,30 / 50,,,,,,,,,,,50,sa3017694
,Nolan Jones,RF,CLE,24.2472222,"6' 4""",220,L,R,30 / 35,80,40,50 / 60,70 / 70,40 / 40,40 / 50,,,,,,,,,,,50,20529
,Austin Martin,CF,MIN,23.3694444,"6' 0""",185,R,R,50 / 60,70,60,30 / 40,45 / 45,50 / 50,35 / 45,,,,,,,,,,,50,sa3014454
,Logan Allen,SP,CLE,23.9194444,"6' 0""",180,R,L,,,,,,,,Tail,55 / 55,40 / 45,,,45 / 55,2150,2300,89-92,94,50,sa3014444
,Brandon Williamson,SP,CIN,24.3444444,"6' 6""",210,L,L,,,,,,,,Rise,50 / 55,55 / 60,55 / 60,55 / 60,35 / 45,2300,2700,92-95,97,50,sa3011494
,Owen Caissie,LF,CHC,20.0777777,"6' 3""",215,L,R,30 / 40,60,45,25 / 60,55 / 65,40 / 30,30 / 50,,,,,,,,,,,50,sa3014465
,James Triantos,2B,CHC,19.5194444,"6' 0""",190,R,R,25 / 70,40,70,20 / 55,45 / 50,50 / 50,40 / 45,,,,,,,,,,,50,sa3017295
,Edward Cabrera,SP,MIA,24.3138888,"6' 4""",217,R,R,,,,,,,,Tail,60 / 60,50 / 60,,45 / 55,45 / 50,2250,2300,93-97,99,50,21690
,Dillon Dingler,C,DET,23.8861111,"6' 3""",210,R,R,30 / 40,50,45,30 / 45,50 / 50,45 / 45,40 / 50,,,,,,,,,,,50,sa3014528
,Tyler Freeman,2B,CLE,23.2083333,"6' 0""",170,R,R,50 / 70,30,70,20 / 30,40 / 45,55 / 50,45 / 50,,,,,,,,,,,50,22532
,Xavier Edwards,2B,TBR,22.9916666,"5' 9""",175,S,R,50 / 70,45,70,20 / 30,40 / 40,80 / 80,45 / 50,,,,,,,,,,,50,sa3007018
,Heriberto Hernandez,LF,TBR,22.6388888,"6' 1""",210,R,R,35 / 55,60,60,35 / 55,55 / 60,30 / 30,30 / 40,,,,,,,,,,,50,sa3005630
,Johan Rojas,CF,PHI,21.9777777,"6' 1""",170,R,R,35 / 55,30,55,30 / 45,50 / 60,70 / 70,45 / 70,,,,,,,,,,,45+,sa3005784
,Justin Crawford,CF,PHI,18.5638888,"6' 3""",175,L,R,25 / 55,40,55,20 / 45,40 / 55,70 / 70,40 / 55,,,,,,,,,,,45+,
,Carlos Colmenarez,SS,TBR,18.725,"6' 1""",175,L,R,25 / 55,,50,25 / 55,45 / 55,55 / 55,45 / 55,,,,,,,,,,,45+,sa3017480
