Name,Top100,Pos,Class,Org,Age,H,W,B,T,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,CMD,Bio.Class,Ht,Wt,Pos.Class
Nazier Mule,NA,SIRP,Pitcher,CHC,17,60,60,R,R,30,50,60,60,60,NA,NA,NA,NA,NA,NA,Pitcher,"6' 3""",210,RP
Nazier Mule,NA,SIRP,Pitcher,CHC,17,60,60,R,R,NA,NA,NA,NA,NA,NA,70,60,NA,50,40,Pitcher,"6' 3""",210,RP
Nelson Quiroz,NA,C,Catcher,LAD,20,30,50,S,R,50,30,40,30,40,40,NA,NA,NA,NA,NA,Position,"5' 8""",194,C
Neraldo Catalina,NA,SIRP,Pitcher,TBR,22,70,60,R,R,NA,NA,NA,NA,NA,NA,70,60,NA,NA,35,Pitcher,"6' 6""",202,RP
Nerwilian Cedeno,NA,SS,Position,SDP,20,40,50,S,R,50,40,50,60,50,45,NA,NA,NA,NA,NA,Position,"5' 9""",175,MI
Neyfy Castillo,NA,1B,Position,ARI,21,60,60,R,R,40,60,60,40,50,45,NA,NA,NA,NA,NA,Position,"6' 3""",205,CI
Nic Enright,NA,SIRP,Pitcher,CLE,25,60,60,R,R,NA,NA,NA,NA,NA,NA,50,NA,60,NA,45,Pitcher,"6' 3""",205,RP
Nic Laio,NA,SIRP,Pitcher,PIT,25,70,60,R,R,NA,NA,NA,NA,NA,NA,50,60,NA,50,50,Pitcher,"6' 5""",205,RP
Nicio Rodriguez,NA,SIRP,Pitcher,NYY,23,60,50,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,45,Pitcher,"6' 3""",175,RP
Nick Bennett,NA,MIRP,Pitcher,MIL,25,60,60,L,L,NA,NA,NA,NA,NA,NA,50,60,NA,50,40,Pitcher,"6' 4""",210,RP
Nick Bitsko,NA,SP,Pitcher,TBR,20,60,70,R,R,NA,NA,NA,NA,NA,NA,60,NA,60,50,50,Pitcher,"6' 3""",220,SP
Nick Decker,NA,RF,Position,BOS,23,50,60,L,L,40,50,60,50,50,50,NA,NA,NA,NA,NA,Position,"6' 0""",207,OF
Nick Dombkowski,NA,MIRP,Pitcher,PIT,24,60,50,R,L,NA,NA,NA,NA,NA,NA,40,60,NA,60,55,Pitcher,"6' 2""",195,RP
Nick Frasso,NA,SP,Pitcher,LAD,23,70,50,R,R,NA,NA,NA,NA,NA,NA,60,NA,50,50,50,Pitcher,"6' 5""",190,SP
Nick Garcia,NA,SP,Pitcher,PIT,23,60,60,L,R,NA,NA,NA,NA,NA,NA,50,50,50,60,50,Pitcher,"6' 4""",215,SP
Nick Gonzales,101,2B,Position,PIT,23,40,50,R,R,50,60,60,60,50,45,NA,NA,NA,NA,NA,Position,"5' 10""",195,MI
Nick Loftin,NA,CF,Position,KCR,24,50,50,R,R,60,40,50,60,60,60,NA,NA,NA,NA,NA,Position,"6' 1""",180,OF
Nick Meyer,NA,C,Catcher,NYM,25,50,60,R,R,50,30,40,30,60,60,NA,NA,NA,NA,NA,Position,"6' 1""",200,C
Nick Mikolajchak,NA,SIRP,Pitcher,CLE,24,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,60,45,Pitcher,"6' 2""",215,RP
Nick Nastrini,NA,SIRP,Pitcher,LAD,22,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,60,NA,40,Pitcher,"6' 3""",215,RP
Nick Robertson,NA,SIRP,Pitcher,LAD,24,70,80,R,R,NA,NA,NA,NA,NA,NA,70,50,NA,50,40,Pitcher,"6' 6""",265,RP
Nick Snyder,NA,SIRP,Pitcher,TEX,26,60,50,R,R,NA,NA,NA,NA,NA,NA,50,60,NA,NA,40,Pitcher,"6' 4""",190,RP
Nick Swiney,NA,SP,Pitcher,SFG,23,60,50,R,L,NA,NA,NA,NA,NA,NA,50,NA,60,60,55,Pitcher,"6' 3""",181,SP
Nick Yorke,90,2B,Position,BOS,20,50,60,R,R,60,50,50,50,40,30,NA,NA,NA,NA,NA,Position,"6' 0""",200,MI
Nick Zwack,NA,SP,Pitcher,SFG,24,60,70,L,L,NA,NA,NA,NA,NA,NA,50,60,NA,50,50,Pitcher,"6' 3""",230,SP
Nicoly Pina,NA,SIRP,Pitcher,PHI,23,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,NA,NA,40,Pitcher,"6' 3""",203,RP
Nikau Pouaka-Grego,NA,2B,Position,PHI,18,40,50,L,R,60,30,40,50,50,45,NA,NA,NA,NA,NA,Position,"5' 10""",175,MI
Niko Kavadas,NA,DH,Position,BOS,23,50,70,L,R,50,60,70,30,50,40,NA,NA,NA,NA,NA,Position,"6' 1""",235,DH
Noah Davis,NA,SP,Pitcher,COL,25,60,50,R,R,NA,NA,NA,NA,NA,NA,50,60,50,50,50,Pitcher,"6' 2""",195,SP
Noah Dean,NA,SIRP,Pitcher,BOS,21,60,60,L,L,NA,NA,NA,NA,NA,NA,60,60,NA,NA,40,Pitcher,"6' 2""",215,RP
Noah Miller,NA,SS,Position,MIN,19,50,50,S,R,60,50,50,40,50,50,NA,NA,NA,NA,NA,Position,"6' 0""",185,MI
Noah Schultz,NA,SP,Pitcher,CHW,19,80,70,L,L,NA,NA,NA,NA,NA,NA,60,50,NA,50,50,Pitcher,"6' 9""",230,SP
Noah Song,NA,SP,Pitcher,BOS,25,60,60,R,R,NA,NA,NA,NA,NA,NA,60,60,60,50,50,Pitcher,"6' 4""",200,SP
Noelvi Marte,14,SS,Position,CIN,20,50,50,R,R,50,60,70,60,50,60,NA,NA,NA,NA,NA,Position,"6' 1""",195,MI
Nolan Jones,85,RF,Position,CLE,24,60,70,L,R,40,60,70,40,50,70,NA,NA,NA,NA,NA,Position,"6' 4""",220,OF
Norge Vera,NA,SP,Pitcher,CHW,22,60,50,R,R,NA,NA,NA,NA,NA,NA,50,NA,60,50,50,Pitcher,"6' 3""",185,SP
Omar Cruz,NA,SP,Pitcher,PIT,23,50,60,L,L,NA,NA,NA,NA,NA,NA,40,NA,50,60,60,Pitcher,"6' 0""",200,SP
Omar Florentino,NA,SS,Position,KCR,20,40,30,S,R,50,30,40,60,60,50,NA,NA,NA,NA,NA,Position,"5' 9""",135,MI
Onil Perez,NA,C,Catcher,SFG,20,50,50,R,R,50,50,50,30,50,NA,NA,NA,NA,NA,NA,Position,"6' 1""",187,C
Orelvis Martinez,97,3B,Position,TOR,20,50,50,R,R,50,60,60,40,50,55,NA,NA,NA,NA,NA,Position,"6' 1""",195,CI
Orlando Martinez,NA,LF,Position,LAA,24,50,50,L,L,50,50,50,50,60,55,NA,NA,NA,NA,NA,Position,"6' 0""",185,OF
Oscar Colas,NA,RF,Position,CHW,24,50,60,L,L,50,60,60,40,50,55,NA,NA,NA,NA,NA,Position,"6' 1""",209,OF
Osiris Johnson,NA,CF,Position,MIA,21,50,60,R,R,40,50,60,50,50,50,NA,NA,NA,NA,NA,Position,"6' 1""",211,OF
