Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Cade Doughty,3B,21.5361111,-1,1,Short,40,,,sa3020196
Tucker Toman,2B,18.9083333,,1,Med,40,,,sa3020132
Rikelbin De Castro,SS,19.7111111,1,1,Med,55,1,,sa3014714
Sem Robberse,SP,20.9916666,2,1,Med,,-1,1,sa3011735
Marco Raya,SP,20.1722222,,2,Short,,-2,2,sa3014550
Cole Sands,MIRP,25.2277777,,,Med,,,-1,21461
Emmanuel Rodriguez,CF,19.6083333,,,Med,50,,,sa3014693
Misael Urbina,LF,20.45,,1,Short,45,-1,,sa3008743
Jordan Balazovic,SP,24.0611111,1,1,Long,,2,-1,sa918017
Matt Canterino,MIRP,24.8194444,-1,-1,Long,,,-1,sa3011530
Frank Mozzicato,SP,19.3055555,1,1,Long,,,1,sa3018242
Lazaro Montes,RF,17.9638888,2,1,Long,60,-1,,sa3018409
Jonathan Bowlan,SP,25.8555555,1,,Long,,,1,sa3006973
Bryce Miller,MIRP,24.1277777,1,1,Med,,,,sa3017414
Ben Kudrna,SP,19.6916666,1,1,Med,,,,sa3018253
Adam Macko,SP,21.775,-1,,Short,,1,,sa3011555
Asa Lacy,SIRP,23.3527777,1,1,Med,,-1,-1,sa3014423
Walter Ford,SP,17.7805555,1,1,Long,,,1,
Cayden Wallace,3B,21.1722222,,,Med,60,1,,sa3019996
Norge Vera,SP,22.3555555,1,1,Med,,-1,1,sa3017468
Drew Waters,CF,23.775,1,1,Med,60,-1,,20505
Noah Schultz,SP,19.1777777,2,,Long,,,-1,
T.J. Sikkema,SP,24.2055555,-1,-1,Long,,2,1,sa3011191
Wes Kath,3B,20.1833333,1,,Long,50,2,,sa3017172
Nathan Webb,MIRP,25.1361111,-1,,Long,,,,sa918814
Jared Kelley,SIRP,21.0166666,-2,-1,Long,,1,-1,sa3014471
Josh Dye,MIRP,26.0694444,1,1,Long,,2,1,sa3007485
Jarlin Susana,SP,18.5444444,1,,Long,,,-1,sa3018808
Jackson Rutledge,SIRP,23.5222222,,,Long,,-1,,sa3011338
Jake Bennett,SP,21.8527777,1,1,Med,,,,
Calvin Ziegler,SP,20.0166666,,,Short,,,,sa3018142
Dedniel Nunez,SIRP,26.3444444,,,Med,,,,sa3004203
A.J. Vukovich,1B,21.2194444,,1,Med,55,,,sa3014525
Landon Sims,MIRP,21.7666666,-1,1,Short,,1,1,
Manuel Pena,3B,18.8444444,1,1,Med,50,,,sa3015715
Keaton Winn,MIRP,24.6361111,,,Long,,1,-1,sa3006968
Nick Swiney,SP,23.6583333,,,Med,,1,1,sa3014542
Eric Silva,SP,20.0166666,-1,1,Short,,1,1,sa3017965
Mason Black,MIRP,22.8305555,1,-1,Long,,1,-1,sa3018146
Gregory Santos,SIRP,23.1138888,-1,-1,Long,,-1,-1,21894
Ford Proctor,C,25.8472222,,,Med,50,1,,21634
Patrick Bailey,C,23.3611111,,-2,Med,45,1,,sa3014442
Casey Schmitt,3B,23.6055555,,1,Med,60,1,,sa3014484
